match_id,team_iso3,beneficiary_team_iso3,player_name,related_player_name,event_type,minute,stoppage_minute,period,scoreboard_team_a,scoreboard_team_b,notes,data_source_name,data_quality_score
M001,MEX,MEX,Julián Quiñones,Érik Lira,goal,9,,1H,1,0,"Goal! Mexico 1, South Africa 0. Julián Quiñones (Mexico) right footed shot from the centre of the box to the centre of the goal. Assisted by Érik Lira.",ESPN public summary API,82
M001,ZAF,ZAF,Teboho Mokoena,,yellow_card,17,,1H,,,Teboho Mokoena (South Africa) is shown the yellow card for a bad foul.,ESPN public summary API,82
M001,MEX,MEX,Brian Gutiérrez,,yellow_card,23,,1H,,,Brian Gutiérrez (Mexico) is shown the yellow card for a bad foul.,ESPN public summary API,82
M001,MEX,MEX,,,hydration_break_start,25,,1H,,,Delay in match for a drinks break.,ESPN public summary API,82
M001,MEX,MEX,,,hydration_break_end,27,,1H,,,Delay over. They are ready to continue.,ESPN public summary API,82
M001,ZAF,ZAF,Sphephelo Sithole,,red_card,49,,2H,,,Yaya Sithole (South Africa) is shown the red card.,ESPN public summary API,82
M001,ZAF,ZAF,Thalente Mbatha,Lyle Foster,sub_in,56,,2H,,,"Substitution, South Africa. Thalente Mbatha replaces Lyle Foster.",ESPN public summary API,82
M001,ZAF,ZAF,Lyle Foster,Thalente Mbatha,sub_out,56,,2H,,,"Substitution, South Africa. Thalente Mbatha replaces Lyle Foster.",ESPN public summary API,82
M001,ZAF,ZAF,Themba Zwane,Jayden Adams,sub_in,61,,2H,,,"Substitution, South Africa. Themba Zwane replaces Jayden Adams.",ESPN public summary API,82
M001,ZAF,ZAF,Jayden Adams,Themba Zwane,sub_out,61,,2H,,,"Substitution, South Africa. Themba Zwane replaces Jayden Adams.",ESPN public summary API,82
M001,MEX,MEX,Gilberto Mora,Álvaro Fidalgo,sub_in,66,,2H,,,"Substitution, Mexico. Gilberto Mora replaces Álvaro Fidalgo.",ESPN public summary API,82
M001,MEX,MEX,Luis Chávez,Brian Gutiérrez,sub_in,66,,2H,,,"Substitution, Mexico. Luis Chávez replaces Brian Gutiérrez.",ESPN public summary API,82
M001,MEX,MEX,Brian Gutiérrez,Luis Chávez,sub_out,66,,2H,,,"Substitution, Mexico. Luis Chávez replaces Brian Gutiérrez.",ESPN public summary API,82
M001,MEX,MEX,Álvaro Fidalgo,Gilberto Mora,sub_out,66,,2H,,,"Substitution, Mexico. Gilberto Mora replaces Álvaro Fidalgo.",ESPN public summary API,82
M001,MEX,MEX,Raúl Jiménez,Roberto Alvarado,goal,67,,2H,2,0,"Goal! Mexico 2, South Africa 0. Raúl Jiménez (Mexico) header from very close range to the bottom left corner. Assisted by Roberto Alvarado with a cross.",ESPN public summary API,82
M001,MEX,MEX,,,hydration_break_start,68,,2H,,,Delay in match for a drinks break.,ESPN public summary API,82
M001,MEX,MEX,,,hydration_break_end,70,,2H,,,Delay over. They are ready to continue.,ESPN public summary API,82
M001,MEX,MEX,,,hydration_break_end,73,,2H,,,Delay over. They are ready to continue.,ESPN public summary API,82
M001,ZAF,ZAF,Nkosinathi Sibisi,,yellow_card,74,,2H,,,Nkosinathi Sibisi (South Africa) is shown the yellow card for a bad foul.,ESPN public summary API,82
M001,MEX,MEX,Armando González,Raúl Jiménez,sub_in,76,,2H,,,"Substitution, Mexico. Armando González replaces Raúl Jiménez.",ESPN public summary API,82
M001,MEX,MEX,Edson Álvarez,Érik Lira,sub_in,76,,2H,,,"Substitution, Mexico. Edson Álvarez replaces Érik Lira.",ESPN public summary API,82
M001,ZAF,ZAF,Evidence Makgopa,Iqraam Rayners,sub_in,76,,2H,,,"Substitution, South Africa. Evidence Makgopa replaces Iqraam Rayners.",ESPN public summary API,82
M001,MEX,MEX,Raúl Jiménez,Armando González,sub_out,76,,2H,,,"Substitution, Mexico. Armando González replaces Raúl Jiménez.",ESPN public summary API,82
M001,MEX,MEX,Érik Lira,Edson Álvarez,sub_out,76,,2H,,,"Substitution, Mexico. Edson Álvarez replaces Érik Lira.",ESPN public summary API,82
M001,ZAF,ZAF,Iqraam Rayners,Evidence Makgopa,sub_out,76,,2H,,,"Substitution, South Africa. Evidence Makgopa replaces Iqraam Rayners.",ESPN public summary API,82
M001,ZAF,ZAF,Oswin Appollis,Aubrey Modiba,sub_in,77,,2H,,,"Substitution, South Africa. Oswin Appollis replaces Aubrey Modiba.",ESPN public summary API,82
M001,ZAF,ZAF,Aubrey Modiba,Oswin Appollis,sub_out,77,,2H,,,"Substitution, South Africa. Oswin Appollis replaces Aubrey Modiba.",ESPN public summary API,82
M001,MEX,MEX,Alexis Vega,Julián Quiñones,sub_in,79,,2H,,,"Substitution, Mexico. Alexis Vega replaces Julián Quiñones.",ESPN public summary API,82
M001,MEX,MEX,Julián Quiñones,Alexis Vega,sub_out,79,,2H,,,"Substitution, Mexico. Alexis Vega replaces Julián Quiñones.",ESPN public summary API,82
M001,MEX,MEX,,,hydration_break_end,81,,2H,,,Delay over. They are ready to continue.,ESPN public summary API,82
M001,ZAF,ZAF,Themba Zwane,,red_card,84,,2H,,,Themba Zwane (South Africa) is shown the red card for violent conduct.,ESPN public summary API,82
M001,MEX,MEX,César Montes,,red_card,90,2,2H,,,César Montes (Mexico) is shown the red card.,ESPN public summary API,82
M002,KOR,KOR,,,hydration_break_start,23,,1H,,,Delay in match for a drinks break.,ESPN public summary API,82
M002,KOR,KOR,,,hydration_break_end,25,,1H,,,Delay over. They are ready to continue.,ESPN public summary API,82
M002,KOR,KOR,,,hydration_break_end,27,,1H,,,Delay over. They are ready to continue.,ESPN public summary API,82
M002,CZE,CZE,Ladislav Krejcí,Vladimír Coufal,goal,59,,2H,0,1,"Goal! Korea Republic 0, Czechia 1. Ladislav Krejcí (Czechia) header from very close range to the bottom right corner. Assisted by Vladimír Coufal.",ESPN public summary API,82
M002,KOR,KOR,Hwang Hee-Chan,Lee Jae-Sung,sub_in,62,,2H,,,"Substitution, Korea Republic. Hwang Hee-Chan replaces Lee Jae-Sung.",ESPN public summary API,82
M002,KOR,KOR,Lee Jae-Sung,Hwang Hee-Chan,sub_out,62,,2H,,,"Substitution, Korea Republic. Hwang Hee-Chan replaces Lee Jae-Sung.",ESPN public summary API,82
M002,CZE,CZE,Adam Hlozek,Pavel Sulc,sub_in,64,,2H,,,"Substitution, Czechia. Adam Hlozek replaces Pavel Sulc.",ESPN public summary API,82
M002,CZE,CZE,Michal Sadílek,Lukás Provod,sub_in,64,,2H,,,"Substitution, Czechia. Michal Sadílek replaces Lukás Provod.",ESPN public summary API,82
M002,CZE,CZE,Tomás Chorý,Patrik Schick,sub_in,64,,2H,,,"Substitution, Czechia. Tomás Chory replaces Patrik Schick.",ESPN public summary API,82
M002,CZE,CZE,Lukás Provod,Michal Sadílek,sub_out,64,,2H,,,"Substitution, Czechia. Michal Sadílek replaces Lukás Provod.",ESPN public summary API,82
M002,CZE,CZE,Patrik Schick,Tomás Chorý,sub_out,64,,2H,,,"Substitution, Czechia. Tomás Chory replaces Patrik Schick.",ESPN public summary API,82
M002,CZE,CZE,Pavel Sulc,Adam Hlozek,sub_out,64,,2H,,,"Substitution, Czechia. Adam Hlozek replaces Pavel Sulc.",ESPN public summary API,82
M002,KOR,KOR,Hwang In-Beom,Lee Kang-In,goal,67,,2H,1,1,"Goal! Korea Republic 1, Czechia 1. Hwang In-Beom (Korea Republic) right footed shot from the centre of the box to the bottom right corner. Assisted by Lee Kang-In.",ESPN public summary API,82
M002,KOR,KOR,Eom Ji-Sung,Lee Tae-Seok,sub_in,69,,2H,,,"Substitution, Korea Republic. Eom Ji-Sung replaces Lee Tae-Seok.",ESPN public summary API,82
M002,KOR,KOR,Oh Hyeon-Gyu,Son Heung-Min,sub_in,69,,2H,,,"Substitution, Korea Republic. Oh Hyeon-Gyu replaces Son Heung-Min.",ESPN public summary API,82
M002,KOR,KOR,Lee Tae-Seok,Eom Ji-Sung,sub_out,69,,2H,,,"Substitution, Korea Republic. Eom Ji-Sung replaces Lee Tae-Seok.",ESPN public summary API,82
M002,KOR,KOR,Son Heung-Min,Oh Hyeon-Gyu,sub_out,69,,2H,,,"Substitution, Korea Republic. Oh Hyeon-Gyu replaces Son Heung-Min.",ESPN public summary API,82
M002,KOR,KOR,,,hydration_break_start,70,,2H,,,Delay in match for a drinks break.,ESPN public summary API,82
